Spanish,English Translation - Meaning in English.,French Translation - Meaning in French.,Italian Translation - Meaning in Italian.,Portuguese Translation - Meaning in Portuguese.,Spanish Sentence - Story sentence using the verb in Spanish.,English Sentence - Translation of the story sentence in English.,French Sentence - Translation of the story sentence in French.,Italian Sentence - Translation of the story sentence in Italian.,Portuguese Sentence - Translation of the story sentence in Portuguese.
limpiar,to clean,nettoyer,pulire,limpar,Limpian la cocina después de preparar un almuerzo saludable.,They clean the kitchen after preparing a healthy lunch.,Ils nettoient la cuisine après avoir préparé un déjeuner sain.,Puliscano la cucina dopo aver preparato un pranzo sano.,Limpam a cozinha após preparar um almoço saudável.
compartir,to share,partager,condividere,compartilhar,Comparten recetas saludables con sus amigos en línea.,They share healthy recipes with their friends online.,Ils partagent des recettes saines avec leurs amis en ligne.,Condividono ricette salutari con i loro amici online.,Compartilham receitas saudáveis com seus amigos online.
disfrutar,to enjoy,profiter,godere,desfrutar,Disfrutan de una comida al aire libre después de un día activo.,They enjoy an outdoor meal after an active day.,Ils profitent d'un repas en plein air après une journée active.,Godono di un pasto all'aperto dopo una giornata attiva.,Desfrutam de uma refeição ao ar livre após um dia ativo.
preparar,to prepare,préparer,preparare,preparar,Preparan un batido de frutas como merienda después de entrenar.,They prepare a fruit smoothie as a post-workout snack.,Ils préparent un smoothie aux fruits comme collation après l'entraînement.,Preparano un frullato di frutta come spuntino post-allenamento.,Preparam um smoothie de frutas como lanche pós-treino.
beber,to drink,boire,bere,beber,Beben agua con limón para mantenerse hidratados.,They drink lemon water to stay hydrated.,Ils boivent de l'eau citronnée pour rester hydratés.,Bevono acqua con limone per rimanere idratati.,Bebem água com limão para se manterem hidratados.
dibujar,to draw,dessiner,disegnare,desenhar,Dibujan un gráfico para visualizar sus objetivos de ahorro.,They draw a graph to visualize their savings goals.,Ils dessinent un graphique pour visualiser leurs objectifs d'épargne.,Disegnano un grafico per visualizzare i loro obiettivi di risparmio.,Desenham um gráfico para visualizar suas metas de economia.
cocinar,to cook,cuisiner,cucinare,cozinhar,Cocinan juntos una receta nueva de sopa de vegetales.,They cook a new vegetable soup recipe together.,Ils cuisinent ensemble une nouvelle recette de soupe aux légumes.,Cucìnano insieme una nuova ricetta di zuppa di verdure.,Cozinham juntos uma nova receita de sopa de vegetais.
organizar,to organize,organiser,organizzare,organizar,Organizan un evento para recaudar fondos para la escuela.,They organize a fundraiser event for the school.,Ils organisent un événement pour collecter des fonds pour l'école.,Organizzano un evento per raccogliere fondi per la scuola.,Organizam um evento para arrecadar fundos para a escola.
bailar,to dance,danser,ballare,dançar,Bailan para celebrar después de alcanzar un objetivo.,They dance to celebrate after reaching a goal.,Ils dansent pour célébrer après avoir atteint un objectif.,Ballano per festeggiare dopo aver raggiunto un obiettivo.,Dançam para celebrar depois de alcançar uma meta.
caminar,to walk,marcher,camminare,caminhar,Caminan por el bosque para relajarse después de estudiar.,They walk through the forest to relax after studying.,Ils marchent dans la forêt pour se détendre après avoir étudié.,Camminano nel bosco per rilassarsi dopo aver studiato.,Caminham pela floresta para relaxar após estudar.
decidir,to decide,décider,decidere,decidir,Deciden ahorrar la mitad de sus mesadas cada semana.,They decide to save half of their allowances each week.,Ils décident d'économiser la moitié de leur argent de poche chaque semaine.,Decidono di risparmiare metà della loro paghetta ogni settimana.,Decidem economizar metade de suas mesadas toda semana.
hablar,to talk,parler,parlare,falar,Hablan con un nutricionista sobre cómo mejorar su dieta.,They talk to a nutritionist about improving their diet.,Ils parlent avec un nutritionniste de l'amélioration de leur régime alimentaire.,Parlano con un nutrizionista su come migliorare la loro dieta.,Falam com um nutricionista sobre como melhorar a dieta.
jugar,to play,jouer,giocare,jogar,Juegan un partido de fútbol en el parque con amigos.,They play a soccer match in the park with friends.,Ils jouent un match de football dans le parc avec des amis.,Giocano una partita di calcio al parco con gli amici.,Jogam uma partida de futebol no parque com os amigos.
ayudar,to help,aider,aiutare,ajudar,Ayudan a sus padres a preparar una cena saludable.,They help their parents prepare a healthy dinner.,Ils aident leurs parents à préparer un dîner sain.,Aiutano i loro genitori a preparare una cena sana.,Ajudam seus pais a preparar um jantar saudável.
escuchar,to listen,écouter,ascoltare,escutar,Escuchan música relajante mientras hacen yoga.,They listen to relaxing music while doing yoga.,Ils écoutent de la musique relaxante pendant qu'ils font du yoga.,Ascoltano musica rilassante mentre fanno yoga.,Escutam música relaxante enquanto fazem yoga.
pintar,to paint,peindre,dipingere,pintar,Pintan un mural que muestra hábitos saludables.,They paint a mural depicting healthy habits.,Ils peignent une fresque qui montre des habitudes saines.,Dipingono un murale che mostra abitudini salutari.,Pintam um mural que mostra hábitos saudáveis.
descansar,to rest,se reposer,riposare,descansar,Descansan bajo un árbol después de una larga caminata.,They rest under a tree after a long walk.,Ils se reposent sous un arbre après une longue marche.,Riposano sotto un albero dopo una lunga passeggiata.,Descansam debaixo de uma árvore depois de uma longa caminhada.
estudiar,to study,étudier,studiare,estudar,Estudian sobre los beneficios de los alimentos integrales.,They study the benefits of whole foods.,Ils étudient les bienfaits des aliments complets.,Studiano i benefici degli alimenti integrali.,Estudam os benefícios dos alimentos integrais.
correr,to run,courir,correre,correr,Corren una carrera amistosa para mejorar su resistencia.,They run a friendly race to improve their endurance.,Ils courent une course amicale pour améliorer leur endurance.,Corrono una gara amichevole per migliorare la loro resistenza.,Correm uma corrida amigável para melhorar sua resistência.
comprar,to buy,acheter,comprare,comprar,Compran semillas para plantar su propio jardín de hierbas.,They buy seeds to plant their own herb garden.,Ils achètent des graines pour planter leur propre jardin d'herbes.,Comprano semi per piantare il proprio giardino di erbe aromatiche.,Compram sementes para plantar seu próprio jardim de ervas.
cocinar,to cook,cuisiner,cucinare,cozinhar,Cocinan un pastel saludable sin azúcar añadido.,They cook a healthy cake without added sugar.,Ils cuisinent un gâteau sain sans sucre ajouté.,Cucinano una torta sana senza zucchero aggiunto.,Cozinham um bolo saudável sem açúcar adicionado.
saltar,to jump,sauter,saltare,saltar,Saltan sobre las olas mientras juegan en la playa.,They jump over the waves while playing at the beach.,Ils sautent par-dessus les vagues en jouant sur la plage.,Saltano sopra le onde mentre giocano sulla spiaggia.,Saltam sobre as ondas enquanto brincam na praia.
planear,to plan,planifier,pianificare,planejar,Planean una excursión para explorar el campo.,They plan a trip to explore the countryside.,Ils planifient une excursion pour explorer la campagne.,Pianificano un'escursione per esplorare la campagna.,Planejam uma excursão para explorar o campo.
escribir,to write,écrire,scrivere,escrever,Escriben un diario sobre sus objetivos de bienestar.,They write a journal about their wellness goals.,Ils écrivent un journal sur leurs objectifs de bien-être.,Scrivono un diario sui loro obiettivi di benessere.,Escrevem um diário sobre seus objetivos de bem-estar.
limpiar,to clean,nettoyer,pulire,limpar,Limpian la cocina juntos después de cocinar.,They clean the kitchen together after cooking.,Ils nettoient la cuisine ensemble après avoir cuisiné.,Pulìscono la cucina insieme dopo aver cucinato.,Limpam a cozinha juntos depois de cozinhar.
buscar,to search/look for,chercher,cercare,procurar,Buscan nuevas maneras de ahorrar dinero en el supermercado.,They look for new ways to save money at the grocery store.,Ils cherchent de nouvelles façons d'économiser de l'argent au supermarché.,Cercano nuovi modi per risparmiare denaro al supermercato.,Procuram novas maneiras de economizar no supermercado.
bailar,to dance,danser,ballare,dançar,Bailan para celebrar su éxito al aprender una nueva receta.,They dance to celebrate their success in learning a new recipe.,Ils dansent pour célébrer leur succès à apprendre une nouvelle recette.,Ballano per festeggiare il loro successo nell'imparare una nuova ricetta.,Dançam para comemorar o sucesso em aprender uma nova receita.
leer,to read,lire,leggere,ler,Leen un libro sobre los beneficios del ejercicio diario.,They read a book about the benefits of daily exercise.,Ils lisent un livre sur les bienfaits de l'exercice quotidien.,Leggono un libro sui benefici dell'esercizio quotidiano.,Leem um livro sobre os benefícios do exercício diário.
enseñar,to teach,enseigner,insegnare,ensinar,Enseñan a sus amigos cómo hacer un batido nutritivo.,They teach their friends how to make a nutritious smoothie.,Ils enseignent à leurs amis comment faire un smoothie nutritif.,Insegnano ai loro amici come preparare un frullato nutriente.,Ensinam seus amigos a fazer um smoothie nutritivo.
abrir,to open,ouvrir,aprire,abrir,Abren una nueva caja de lápices de colores para sus proyectos creativos.,They open a new box of crayons for their creative projects.,Ils ouvrent une nouvelle boîte de crayons pour leurs projets créatifs.,Aprono una nuova scatola di pastelli per i loro progetti creativi.,Abrem uma nova caixa de lápis de cor para seus projetos criativos.
nadar,to swim,nager,nuotare,nadar,Nadan en el río como parte de su rutina de ejercicio.,They swim in the river as part of their exercise routine.,Ils nagent dans la rivière dans le cadre de leur routine d'exercice.,Nuotano nel fiume come parte della loro routine di allenamento.,Nadam no rio como parte da sua rotina de exercícios.
pintar,to paint,peindre,dipingere,pintar,Pintan un mural sobre el tema de la naturaleza y la salud.,They paint a mural on the theme of nature and health.,Ils peignent une fresque sur le thème de la nature et de la santé.,Dipingono un murale sul tema della natura e della salute.,Pintam um mural sobre o tema da natureza e da saúde.
organizar,to organize,organiser,organizzare,organizar,Organizan una venta de garaje para recaudar dinero para el parque local.,They organize a garage sale to raise money for the local park.,Ils organisent une vente de garage pour collecter des fonds pour le parc local.,Organizzano una vendita di garage per raccogliere fondi per il parco locale.,Organizam uma venda de garagem para arrecadar dinheiro para o parque local.
construir,to build,construire,costruire,construir,Construyen una casa para pájaros como parte de su proyecto de ciencias.,They build a birdhouse as part of their science project.,Ils construisent une maison pour oiseaux dans le cadre de leur projet scientifique.,Costruiscono una casetta per uccelli come parte del loro progetto scientifico.,Constroem uma casinha de pássaros como parte de seu projeto de ciências.
ayudar,to help,aider,aiutare,ajudar,Ayudan a sus abuelos a plantar un jardín de vegetales.,They help their grandparents plant a vegetable garden.,Ils aident leurs grands-parents à planter un potager.,Aiutano i loro nonni a piantare un orto.,Ajudam seus avós a plantar uma horta.
reciclar,to recycle,recycler,riciclare,reciclar,Reciclan botellas para hacer manualidades creativas.,They recycle bottles to make creative crafts.,Ils recyclent des bouteilles pour créer des objets artisanaux.,Riciclano bottiglie per creare lavori artigianali.,Reciclam garrafas para fazer artesanatos criativos.
cocinar,to cook,cuisiner,cucinare,cozinhar,Cocinan juntos una comida saludable con ingredientes locales.,They cook a healthy meal together using local ingredients.,Ils cuisinent ensemble un repas sain avec des ingrédients locaux.,Cucìnano insieme un pasto sano con ingredienti locali.,Cozinham juntos uma refeição saudável com ingredientes locais.
cuidar,to take care of,s'occuper de,prendersi cura,cuidar,Cuidan de los animales en el refugio local como actividad voluntaria.,They take care of animals at the local shelter as a volunteer activity.,Ils s'occupent des animaux au refuge local comme activité bénévole.,Si prendono cura degli animali al rifugio locale come attività di volontariato.,Cuidam dos animais no abrigo local como uma atividade voluntária.
escribir,to write,écrire,scrivere,escrever,Escriben una carta de agradecimiento a su entrenador de natación.,They write a thank-you letter to their swimming coach.,Ils écrivent une lettre de remerciement à leur entraîneur de natation.,Scrivono una lettera di ringraziamento al loro allenatore di nuoto.,Escrevem uma carta de agradecimento ao treinador de natação.
cantar,to sing,chanter,cantare,cantar,Cantan una canción para motivarse mientras caminan al mercado.,They sing a song to motivate themselves while walking to the market.,Ils chantent une chanson pour se motiver en marchant vers le marché.,Cantano una canzone per motivarsi mentre camminano verso il mercato.,Cantam uma canção para se motivar enquanto caminham para o mercado.
comprar,to buy,acheter,comprare,comprar,Compran semillas para empezar su propio huerto en casa.,They buy seeds to start their own home garden.,Ils achètent des graines pour démarrer leur propre jardin à la maison.,Comprano semi per iniziare il loro giardino di casa.,Compram sementes para começar sua própria horta em casa.
correr,to run,courir,correre,correr,Corren alrededor del parque para mejorar su resistencia.,They run around the park to improve their endurance.,Ils courent autour du parc pour améliorer leur endurance.,Corrono intorno al parco per migliorare la loro resistenza.,Correm pelo parque para melhorar sua resistência.
dibujar,to draw,dessiner,disegnare,desenhar,Dibujan sus metas de salud y las colocan en un mural motivacional.,They draw their health goals and place them on a motivational mural.,Ils dessinent leurs objectifs de santé et les placent sur un mur motivationnel.,Disegnano i loro obiettivi di salute e li mettono su un murale motivazionale.,Desenham seus objetivos de saúde e os colocam em um mural motivacional.
dormir,to sleep,dormir,dormire,dormir,Duermen temprano para tener energía para su gran día de actividades.,They sleep early to have energy for their big day of activities.,Ils dorment tôt pour avoir de l'énergie pour leur grande journée d'activités.,Dormono presto per avere energia per la loro grande giornata di attività.,Dormem cedo para ter energia para o grande dia de atividades.
ganar,to win,gagner,vincere,ganhar,Ganan un concurso de reciclaje por sus innovadoras ideas.,They win a recycling contest for their innovative ideas.,Ils gagnent un concours de recyclage grâce à leurs idées innovantes.,Vincono un concorso di riciclaggio per le loro idee innovative.,Ganham um concurso de reciclagem por suas ideias inovadoras.
estudiar,to study,étudier,studiare,estudar,Estudian la pirámide alimenticia para aprender sobre una dieta equilibrada.,They study the food pyramid to learn about a balanced diet.,Ils étudient la pyramide alimentaire pour apprendre à équilibrer leur alimentation.,Studiano la piramide alimentare per imparare una dieta equilibrata.,Estudam a pirâmide alimentar para aprender sobre uma dieta equilibrada.
felicitar,to congratulate,féliciter,congratulare,felicitar,Felicitan a su amigo por completar su primera carrera de 5K.,They congratulate their friend for completing their first 5K race.,Ils félicitent leur ami pour avoir terminé sa première course de 5 km.,Si congratulano con il loro amico per aver completato la sua prima corsa di 5 km.,Felicitam o amigo por completar sua primeira corrida de 5 km.
imaginar,to imagine,imaginer,immaginare,imaginar,Imaginan cómo sería abrir un gimnasio para niños y animales.,They imagine what it would be like to open a gym for kids and animals.,Ils imaginent ce que ce serait d'ouvrir une salle de sport pour enfants et animaux.,Immaginano come sarebbe aprire una palestra per bambini e animali.,Imaginam como seria abrir uma academia para crianças e animais.
inflar,to inflate,gonfler,gonfiare,inflar,Inflan globos para decorar la fiesta de cumpleaños de Curb.,They inflate balloons to decorate Curb's birthday party.,Ils gonflent des ballons pour décorer la fête d'anniversaire de Curb.,Gonfiano palloncini per decorare la festa di compleanno di Curb.,Inflam balões para decorar a festa de aniversário do Curb.
levantar,to lift,soulever,sollevare,levantar,Levantan pesas pequeñas para mejorar su fuerza.,They lift small weights to improve their strength.,Ils soulèvent de petits poids pour améliorer leur force.,Sollevano piccoli pesi per migliorare la loro forza.,Levantam pesos pequenos para melhorar sua força.
lograr,to achieve,atteindre,raggiungere,alcançar,Logran terminar su proyecto de jardín comunitario.,They achieve completing their community garden project.,Ils atteignent l'achèvement de leur projet de jardin communautaire.,Riescono a completare il loro progetto di giardino comunitario.,Conseguem terminar seu projeto de jardim comunitário.
mezclar,to mix,mélanger,mescolare,misturar,Mezclan frutas para preparar un batido saludable.,They mix fruits to prepare a healthy smoothie.,Ils mélangent des fruits pour préparer un smoothie sain.,Mescolano frutta per preparare un frullato salutare.,Misturam frutas para preparar um smoothie saudável.
montar,"to assemble, to ride",monter,montare,montar,Montan sus bicicletas para un paseo por el campo.,They ride their bikes for a countryside journey.,Ils montent leurs vélos pour une balade à la campagne.,Montano le loro biciclette per una gita in campagna.,Montam suas bicicletas para um passeio no campo.
nadar,to swim,nager,nuotare,nadar,Nadan en el río cercano para refrescarse en un día caluroso.,They swim in the nearby river to cool off on a hot day.,Ils nagent dans la rivière proche pour se rafraîchir par une journée chaude.,Nuotano nel fiume vicino per rinfrescarsi in una giornata calda.,Nadam no rio próximo para se refrescar em um dia quente.
observar,to observe,observer,osservare,observar,Observan cómo crecen las plantas en su huerto.,They observe how the plants grow in their garden.,Ils observent comment les plantes poussent dans leur jardin.,Osservano come crescono le piante nel loro giardino.,Observam como as plantas crescem em sua horta.
organizar,to organize,organiser,organizzare,organizar,Organizan un evento deportivo para niños y animales.,They organize a sports event for kids and animals.,Ils organisent un événement sportif pour enfants et animaux.,Organizzano un evento sportivo per bambini e animali.,Organizam um evento esportivo para crianças e animais.
oír,to hear,entendre,sentire,ouvir,Oyen el sonido de los pájaros cantando en el bosque.,They hear the sound of birds singing in the forest.,Ils entendent le son des oiseaux chanter dans la forêt.,Sentono il suono degli uccelli che cantano nella foresta.,Ouvem o som dos pássaros cantando na floresta.
opinar,to give an opinion,donner son avis,esprimere un'opinione,opinar,Opinan sobre qué tipo de comida saludable deberían cocinar.,They give their opinion on what type of healthy food they should cook.,Ils donnent leur avis sur quel type de nourriture saine ils devraient cuisiner.,Esprimono la loro opinione su che tipo di cibo sano dovrebbero cucinare.,Opinam sobre que tipo de comida saudável deveriam cozinhar.
perder,to lose,perdre,perdere,perder,"Pierden un partido de fútbol, pero aprenden de la experiencia.","They lose a soccer game, but learn from the experience.","Ils perdent un match de football, mais ils apprennent de l'expérience.","Perdono una partita di calcio, ma imparano dall'esperienza.","Perdem uma partida de futebol, mas aprendem com a experiência."
planificar,to plan,planifier,pianificare,planejar,Planifican su semana para incluir tiempo de ejercicio y descanso.,They plan their week to include time for exercise and rest.,Ils planifient leur semaine pour inclure du temps pour l'exercice et le repos.,Pianificano la loro settimana per includere tempo per l'esercizio e il riposo.,Planejam sua semana para incluir tempo para exercício e descanso.
practicar,to practice,pratiquer,praticare,praticar,Practican yoga todas las mañanas para mantenerse flexibles.,They practice yoga every morning to stay flexible.,Ils pratiquent le yoga tous les matins pour rester flexibles.,Praticano yoga ogni mattina per rimanere flessibili.,Praticam yoga todas as manhãs para se manter flexíveis.
preparar,to prepare,préparer,preparare,preparar,Preparan una comida saludable con ingredientes frescos.,They prepare a healthy meal with fresh ingredients.,Ils préparent un repas sain avec des ingrédients frais.,Preparano un pasto sano con ingredienti freschi.,Preparam uma refeição saudável com ingredientes frescos.
proteger,to protect,protéger,proteggere,proteger,Protegen sus frutas y verduras de los insectos en el jardín.,They protect their fruits and vegetables from insects in the garden.,Ils protègent leurs fruits et légumes des insectes dans le jardin.,Proteggono la loro frutta e verdura dagli insetti nel giardino.,Protegem suas frutas e verduras dos insetos no jardim.
quitar,to remove,enlever,togliere,tirar,Quitan los platos sucios después de la cena.,They remove the dirty plates after dinner.,Ils enlèvent les assiettes sales après le dîner.,Toglono i piatti sporchi dopo la cena.,Tiram os pratos sujos depois do jantar.
reir,to laugh,rire,ridere,rir,Se ríen de las bromas de Curb sobre su entrenamiento.,They laugh at Curb's jokes about his training.,Ils rient des blagues de Curb sur son entraînement.,Ridono delle battute di Curb sul suo allenamento.,Riem das piadas de Curb sobre o seu treino.
recordar,to remember,se souvenir,ricordare,lembrar,Recuerdan la importancia de tomar agua antes de hacer ejercicio.,They remember the importance of drinking water before exercising.,Ils se souviennent de l'importance de boire de l'eau avant de faire de l'exercice.,Si ricordano l'importanza di bere acqua prima di fare esercizio.,Lembram da importância de beber água antes de fazer exercício.
reducir,to reduce,réduire,ridurre,reduzir,Reducen el tamaño de las porciones para comer más saludable.,They reduce the size of their portions to eat healthier.,Ils réduisent la taille de leurs portions pour manger plus sainement.,Riducono la dimensione delle loro porzioni per mangiare più sano.,Reduzem o tamanho das porções para comer de forma mais saudável.
reflexionar,to reflect,réfléchir,riflettere,refletir,Reflexionan sobre cómo su dieta afecta su energía diaria.,They reflect on how their diet affects their daily energy.,Ils réfléchissent à la façon dont leur alimentation affecte leur énergie quotidienne.,Riflettono su come la loro dieta influisce sulla loro energia quotidiana.,Refletem sobre como sua dieta afeta sua energia diária.
relajar,to relax,se détendre,rilassarsi,relaxar,Se relajan con una caminata tranquila por el parque.,They relax with a peaceful walk through the park.,Ils se détendent avec une promenade tranquille dans le parc.,Si rilassano con una passeggiata tranquilla nel parco.,Relaxam com uma caminhada tranquila pelo parque.
resolver,to resolve,résoudre,risolvere,resolver,Resuelven un problema en el entrenamiento trabajando juntos.,They resolve a problem in the training by working together.,Ils résolvent un problème dans l'entraînement en travaillant ensemble.,Risolvono un problema nell'allenamento lavorando insieme.,Resolvem um problema no treinamento trabalhando juntos.
respetar,to respect,respecter,rispettare,respeitar,Respetan los tiempos de descanso para mejorar su rendimiento.,They respect rest times to improve their performance.,Ils respectent les temps de repos pour améliorer leurs performances.,Rispettano i tempi di riposo per migliorare le loro prestazioni.,Respeitam os tempos de descanso para melhorar seu desempenho.
saber,to know,savoir,sapere,saber,Saben que la buena nutrición es clave para su bienestar.,They know that good nutrition is key to their well-being.,Ils savent que la bonne nutrition est essentielle à leur bien-être.,Sanno che una buona alimentazione è fondamentale per il loro benessere.,Sabem que uma boa nutrição é essencial para o seu bem-estar.
saltar,to jump,sauter,saltare,pular,Saltan de alegría al aprender un nuevo ejercicio.,They jump with joy when learning a new exercise.,Ils sautent de joie en apprenant un nouvel exercice.,Saltano di gioia quando imparano un nuovo esercizio.,Pulam de alegria ao aprender um novo exercício.
salir,to go out,sortir,uscire,sair,Salen al aire libre para hacer ejercicio al sol.,They go out into the fresh air to exercise in the sun.,Ils sortent à l'extérieur pour faire de l'exercice au soleil.,Escono all'aria aperta per fare esercizio al sole.,Saem ao ar livre para se exercitar ao sol.
subir,"to go up, to raise",monter,salire,subir,Suben las escaleras para fortalecer sus piernas.,They go up the stairs to strengthen their legs.,Ils montent les escaliers pour renforcer leurs jambes.,Salgono le scale per rafforzare le loro gambe.,Sobem as escadas para fortalecer as pernas.
tener,to have,avoir,avere,ter,Tienen muchas preguntas sobre cómo mejorar su salud.,They have many questions about how to improve their health.,Ils ont beaucoup de questions sur la façon d'améliorer leur santé.,Hanno molte domande su come migliorare la loro salute.,Têm muitas perguntas sobre como melhorar sua saúde.
tocar,to touch,toucher,toccare,tocar,Tocan su corazón para sentir el ritmo de su salud.,They touch their heart to feel the rhythm of their health.,Ils touchent leur cœur pour ressentir le rythme de leur santé.,Toccano il loro cuore per sentire il ritmo della loro salute.,Tocam o coração para sentir o ritmo de sua saúde.
trabajar,to work,travailler,lavorare,trabalhar,Trabajan juntos para mejorar sus hábitos de vida.,They work together to improve their lifestyle habits.,Ils travaillent ensemble pour améliorer leurs habitudes de vie.,Lavorano insieme per migliorare le loro abitudini di vita.,Trabalham juntos para melhorar seus hábitos de vida.
traer,to bring,apporter,portare,trazer,Traen nuevas ideas sobre cómo comer mejor.,They bring new ideas on how to eat better.,Ils apportent de nouvelles idées sur la façon de mieux manger.,Portano nuove idee su come mangiare meglio.,Trazem novas ideias sobre como comer melhor.
usar,to use,utiliser,usare,usar,Usan sus teléfonos para rastrear su actividad física.,They use their phones to track their physical activity.,Ils utilisent leurs téléphones pour suivre leur activité physique.,Usano i loro telefoni per monitorare la loro attività fisica.,Usam seus telefones para monitorar sua atividade física.
ver,to see,voir,vedere,ver,Ven todo lo que pueden hacer si se cuidan mejor.,They see everything they can do if they take better care of themselves.,Ils voient tout ce qu'ils peuvent faire s'ils prennent mieux soin d'eux-mêmes.,Vedono tutto ciò che possono fare se si prendono meglio cura di loro stessi.,Veem tudo o que podem fazer se cuidarem melhor de si mesmos.
vivir,to live,vivre,vivere,viver,Viven una vida llena de energía y alegría.,They live a life full of energy and joy.,Ils vivent une vie pleine d'énergie et de joie.,Vivono una vita piena di energia e gioia.,Vivem uma vida cheia de energia e alegria.
votar,to vote,voter,votare,votar,Votan por las mejores opciones para su bienestar.,They vote for the best options for their well-being.,Ils votent pour les meilleures options pour leur bien-être.,Votano per le migliori opzioni per il loro benessere.,Votam pelas melhores opções para o seu bem-estar.
volver,to return,revenir,tornare,voltar,Vuelven a su rutina diaria después de un descanso.,They return to their daily routine after a break.,Ils reviennent à leur routine quotidienne après une pause.,Tornano alla loro routine quotidiana dopo una pausa.,Voltam para sua rotina diária após um descanso.
votar,to vote,voter,votare,votar,Votan para decidir qué actividad hacer en su tiempo libre.,They vote to decide what activity to do in their free time.,Ils votent pour décider quelle activité faire pendant leur temps libre.,Votano per decidere quale attività fare nel loro tempo libero.,Votam para decidir qual atividade fazer no tempo livre.
yacer,to lie down,être allongé,giacere,deitar,Yacen en el césped para hacer estiramientos.,They lie down on the grass to stretch.,Ils s'allongent sur l'herbe pour s'étirer.,Si sdraiano sull'erba per fare stretching.,Deitam-se na grama para fazer alongamentos.
añadir,to add,ajouter,aggiungere,adicionar,Añaden frutas y verduras a su dieta todos los días.,They add fruits and vegetables to their diet every day.,Ils ajoutent des fruits et des légumes à leur alimentation tous les jours.,Aggiungono frutta e verdura alla loro dieta ogni giorno.,Adicionam frutas e vegetais à sua dieta todos os dias.
ayudar,to help,aider,aiutare,ajudar,Ayudan a sus amigos a entender cómo ahorrar dinero.,They help their friends understand how to save money.,Ils aident leurs amis à comprendre comment économiser de l'argent.,Aiutano i loro amici a capire come risparmiare denaro.,Ajudam seus amigos a entender como economizar dinheiro.
bailar,to dance,danser,ballare,dançar,Bailan juntos para liberar su estrés.,They dance together to release their stress.,Ils dansent ensemble pour libérer leur stress.,Ballano insieme per liberare lo stress.,Dançam juntos para liberar o estresse.
beber,to drink,boire,bere,beber,Beben agua después de hacer ejercicio.,They drink water after exercising.,Ils boivent de l'eau après avoir fait de l'exercice.,Bevano acqua dopo aver fatto esercizio.,Bebem água depois de fazer exercício.
buscar,to search,chercher,cercare,procurar,Buscan maneras de mejorar su salud y bienestar.,They search for ways to improve their health and well-being.,Ils cherchent des moyens d'améliorer leur santé et leur bien-être.,Cercano modi per migliorare la loro salute e il loro benessere.,Procuram maneiras de melhorar sua saúde e bem-estar.
cambiar,to change,changer,cambiare,mudar,Cambian su dieta para ser más saludables.,They change their diet to be healthier.,Ils changent leur alimentation pour être plus sains.,Cambiano la loro dieta per essere più sani.,Mudam sua dieta para serem mais saudáveis.
comer,to eat,manger,mangiare,comer,Comen juntos en familia para disfrutar de alimentos saludables.,They eat together as a family to enjoy healthy food.,Ils mangent ensemble en famille pour profiter de la nourriture saine.,Mangiano insieme in famiglia per godere di cibo sano.,Comem juntos em família para aproveitar alimentos saudáveis.
comprender,to understand,comprendre,comprendere,compreender,Comprenden cómo la comida afecta su salud.,They understand how food affects their health.,Ils comprennent comment la nourriture affecte leur santé.,Capiscono come il cibo influisce sulla loro salute.,Compreendem como a comida afeta sua saúde.
correr,to run,courir,correre,correr,Corren en el parque para mantenerse en forma.,They run in the park to stay fit.,Ils courent dans le parc pour rester en forme.,Corrono nel parco per mantenersi in forma.,Correm no parque para manterem-se em forma.
cortar,to cut,couper,tagliare,cortar,Cortan las verduras para hacer una ensalada.,They cut vegetables to make a salad.,Ils coupent des légumes pour faire une salade.,Tagliano le verdure per fare un'insalata.,Cortam os vegetais para fazer uma salada.
dar,to give,donner,dare,dar,Dan consejos para llevar una vida saludable.,They give advice on living a healthy life.,Ils donnent des conseils pour mener une vie saine.,Danno consigli su come vivere una vita sana.,Dão conselhos sobre como viver uma vida saudável.
decir,to say,dire,dire,dizer,Dicen que el ejercicio es clave para el bienestar.,They say that exercise is key to well-being.,Ils disent que l'exercice est la clé du bien-être.,Dicono che l'esercizio è la chiave per il benessere.,Dizem que o exercício é a chave para o bem-estar.
desarrollar,to develop,développer,sviluppare,desenvolver,Desarrollan nuevas estrategias para ahorrar dinero.,They develop new strategies to save money.,Ils développent de nouvelles stratégies pour économiser de l'argent.,Sviluppano nuove strategie per risparmiare denaro.,Desenvolvem novas estratégias para economizar dinheiro.
dibujar,to draw,dessiner,disegnare,desenhar,Dibujan su futuro saludable en un cuaderno.,They draw their healthy future in a notebook.,Ils dessinent leur avenir sain dans un carnet.,Disegnano il loro futuro sano in un quaderno.,Desenham seu futuro saudável em um caderno.
disfrutar,to enjoy,profiter,godere,desfrutar,Disfrutan comiendo juntos en el campo.,They enjoy eating together in the field.,Ils profitent de manger ensemble dans le champ.,Godono mangiare insieme nel campo.,Aproveitam comer juntos no campo.
enseñar,to teach,enseigner,insegnare,ensinar,Enseñan a sus amigos cómo elegir alimentos saludables.,They teach their friends how to choose healthy foods.,Ils enseignent à leurs amis comment choisir des aliments sains.,Insegnano ai loro amici come scegliere cibi sani.,Ensinam seus amigos como escolher alimentos saudáveis.
